51511,Australia,United States,EPF,transport ship,Ships,2009,No,2,No,2016,No,New,30,30,60,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,2,No,2017,No,New,30,30,60,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2018,No,New,30,30,30,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2019,No,New,30,30,30,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2020,No,New,30,30,30,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2023,No,New,30,30,30,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2024,,New,30,30,30,Yes;
63655,Australia,Jamaica,Bushmaster -,armoured personnel carrier,Armoured vehicles,2020,No,6,Yes,2021,No,New,0.32,0.32,1.92,No;
63487,Australia,Chile,SM-2MR,SAM,Missiles,2020,Yes,16,Yes,2020,No,Second hand,0.3,0.12,1.92,No;
62802,Australia,UAE,R-400S IFV,infantry fighting vehicle turret,Other,2019,No,50,Yes,2019,Yes,New,0.8,0.8,40,No;
62802,Australia,UAE,R-400S IFV,infantry fighting vehicle turret,Other,2019,No,25,Yes,2023,Yes,New,0.8,0.8,20,No;
62802,Australia,UAE,R-400S IFV,infantry fighting vehicle turret,Other,2019,No,25,Yes,2024,Yes,New,0.8,0.8,20,No;
58247,Australia,Vanuatu,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2021,No,New,7,7,7,No;
65442,Australia,Ukraine,UFH 155mm,towed gun,Artillery,2022,No,6,No,2022,No,Second hand,1,0.4,2.4,No;
63512,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2020,No,6,No,2021,No,New,0.32,0.32,1.92,No;
17911,Australia,Fiji,ASI-315,patrol boat,Ships,1992,No,2,No,1995,No,New,6,6,12,No;
60335,Austria,Latvia,M-109A5 155mm,self-propelled gun,Artillery,2017,No,39,Yes,2017,No,Second hand,1.25,0.5,19.5,No;
60335,Austria,Latvia,M-109A5 155mm,self-propelled gun,Artillery,2017,No,8,Yes,2018,No,Second hand,1.25,0.5,4,No;
59677,Austria,Australia,Camcopter S-100,UAV,Aircraft,2016,No,3,Yes,2017,Yes,New,0.2,0.2,0.6,No;
59677,Austria,Australia,Camcopter S-100,UAV,Aircraft,2016,No,3,Yes,2018,No,New,0.2,0.2,0.6,No;
65909,Austria,Germany,DA-62,light aircraft,Aircraft,2021,Yes,1,No,2022,No,New,0.6,0.6,0.6,No;
62447,Austria,Bangladesh,DA-40,light aircraft,Aircraft,2017,Yes,4,No,2019,No,New,0.15,0.15,0.6,No;
56950,Austria,Argentina,DA-42,light aircraft,Aircraft,2013,Yes,3,No,2016,No,New,0.35,0.35,1.05,No;
31209,Austria,Brazil,SK-105 -,light tank,Armoured vehicles,2000,No,17,No,2001,No,New,0.7,0.7,11.9,No;
68305,Austria,Morocco,DA-40,light aircraft,Aircraft,2022,Yes,5,Yes,2023,,New,0.15,0.15,0.75,No;
68305,Austria,Morocco,DA-40,light aircraft,Aircraft,2022,Yes,3,Yes,2024,Yes,New,0.15,0.15,0.45,No;
64271,Austria,Thailand,DA-42MPP,reconnaissance aircraft,Aircraft,2020,No,3,No,2022,No,New,0.5,0.5,1.5,No;
58981,Austria,Czechia,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2017,No,4,Yes,2019,Yes,New,0.3,0.3,1.2,Yes;
58981,Austria,Czechia,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2017,No,16,Yes,2020,No,New,0.3,0.3,4.8,Yes;
57402,Austria,Spain,SP-30,infantry fighting vehicle turret,Other,2003,No,20,Yes,2009,No,New,0.6,0.6,12,Yes;
57402,Austria,Spain,SP-30,infantry fighting vehicle turret,Other,2003,No,20,Yes,2010,No,New,0.6,0.6,12,Yes;
57402,Austria,Spain,SP-30,infantry fighting vehicle turret,Other,2003,No,20,Yes,2011,No,New,0.6,0.6,12,Yes;
57402,Austria,Spain,SP-30,infantry fighting vehicle turret,Other,2003,No,20,Yes,2012,No,New,0.6,0.6,12,Yes;
57402,Austria,Spain,SP-30,infantry fighting vehicle turret,Other,2003,No,20,Yes,2013,No,New,0.6,0.6,12,Yes;
